,start,end,rsp_sex,rsp_age,fcs_staples,fcs_pulses,fcs_dairy,fcs_proteins,fcs_flesh_meat,fcs_organ_meat,fcs_fish,fcs_eggs,fcs_veg,fcs_orange_veg,fcs_green_veg,fcs_fruits,fcs_orange_fruit,fcs_fats,fcs_sugars,fcs_condiments,rcsi_meal_adult,rcsi_meal_size,rcsi_meal_nb,rcsi_no_eat
52,2021-05-12T10:42:49.735-06:00,2021-05-12T11:07:24.294-06:00,1,23,7,7,3,4,2,0,2,4,4,2,4,7,7,7,5,3,0,0,0,0
53,2021-05-12T10:16:24.003-06:00,2021-05-12T10:41:11.962-06:00,1,34,7,7,7,2,1,0,1,2,2,1,1,7,7,7,7,7,0,0,2,0
54,2021-05-12T09:42:32.900-06:00,2021-05-12T10:16:08.814-06:00,1,50,7,6,4,7,0,0,0,7,3,0,3,3,3,7,7,7,0,7,5,0
55,2021-05-12T11:39:59.625-06:00,2021-05-12T12:06:15.860-06:00,1,29,7,7,4,4,4,0,0,3,7,3,4,5,5,7,3,7,0,0,0,0
56,2021-05-12T10:23:57.495-06:00,2021-05-12T11:11:27.511-06:00,1,67,7,7,3,4,4,0,1,3,4,4,0,4,4,7,7,7,0,0,0,0
57,2021-05-12T09:17:49.049-06:00,2021-05-12T10:23:45.995-06:00,1,40,7,7,3,7,3,0,2,7,3,3,0,7,7,7,7,7,0,0,0,0
58,2021-05-12T12:08:47.035-06:00,2021-05-12T12:42:01.208-06:00,1,66,7,7,3,7,2,0,1,7,2,2,1,7,7,7,7,7,0,0,0,0
59,2021-05-12T11:20:19.403-06:00,2021-05-12T12:03:00.661-06:00,2,80,7,7,7,7,2,0,1,7,7,7,4,7,7,7,7,7,0,0,0,0
60,2021-05-12T09:58:49.110-06:00,2021-05-12T11:20:14.175-06:00,2,31,7,7,7,4,3,4,0,3,3,3,0,5,5,7,7,7,0,0,0,0
61,2021-05-12T12:27:38.008-06:00,2021-05-12T13:16:15.538-06:00,1,48,7,7,7,4,2,1,0,4,7,0,7,7,7,7,7,7,0,0,0,0
62,2021-05-12T12:08:42.653-06:00,2021-05-12T12:27:30.721-06:00,2,39,7,7,3,3,1,0,0,3,3,3,3,2,2,7,7,7,0,0,0,0
63,2021-05-12T10:36:48.210-06:00,2021-05-12T11:51:54.845-06:00,1,37,7,7,1,7,0,1,1,7,2,0,2,0,0,7,7,3,0,0,0,0
64,2021-05-12T09:54:13.725-06:00,2021-05-12T10:27:03.972-06:00,1,50,7,3,3,4,2,0,1,4,2,2,2,4,4,7,5,7,0,0,0,0
65,2021-05-12T12:04:58.380-06:00,2021-05-12T12:38:28.003-06:00,1,55,7,7,7,3,1,0,2,3,7,7,0,7,7,7,7,7,0,2,0,0
66,2021-05-12T11:01:40.381-06:00,2021-05-12T11:34:20.289-06:00,1,71,7,7,3,4,2,0,1,4,7,7,2,7,7,7,7,7,0,0,0,0
67,2021-05-12T12:07:40.515-06:00,2021-05-12T12:40:08.959-06:00,1,72,7,7,1,1,0,0,0,1,2,1,2,7,2,7,7,7,0,0,0,0
68,2021-05-12T09:46:05.813-06:00,2021-05-12T10:32:44.114-06:00,1,63,7,7,4,4,2,1,0,4,7,7,3,7,7,7,7,7,0,0,0,0
69,2021-05-12T10:23:15.016-06:00,2021-05-12T11:16:03.998-06:00,1,57,7,7,7,1,1,0,0,1,7,0,1,7,7,1,7,7,0,0,7,0
70,2021-05-12T09:46:27.811-06:00,2021-05-12T11:02:52.956-06:00,1,63,7,7,7,7,0,0,0,7,3,2,3,7,7,7,7,7,0,7,0,0
71,2021-05-12T11:24:30.589-06,2021-05-12T12:13:54.544-06,2,59,7,7,7,6,2,0,1,6,2,0,2,7,7,7,7,7,0,0,0,0
72,2021-05-12T10:43:19.940-06,2021-05-12T11:24:05.945-06,1,65,7,6,7,6,3,2,3,6,6,3,6,6,6,7,0,7,0,0,0,0
73,2021-05-12T09:17:39.969-06,2021-05-12T10:42:44.895-06,1,22,2,7,7,5,4,0,0,5,7,0,5,6,6,7,7,7,0,0,0,0
74,2021-05-12T11:43:23.372-06:00,2021-05-12T12:05:59.246-06:00,1,64,7,7,7,7,3,1,1,7,7,7,2,7,7,7,2,7,0,0,0,0
75,2021-05-12T10:42:49.868-06:00,2021-05-12T11:34:04.393-06:00,1,60,7,3,7,7,1,1,1,7,7,7,1,7,7,7,7,7,0,0,0,0
76,2021-05-12T10:19:41.749-06:00,2021-05-12T10:42:24.151-06:00,2,31,2,7,4,7,7,0,2,3,7,7,7,7,4,5,7,7,0,0,0,0
77,2021-05-12T10:56:26.510-06:00,2021-05-12T11:21:25.113-06:00,2,46,1,1,0,1,1,0,0,1,1,1,0,0,0,1,1,1,1,3,3,0
78,2021-05-12T10:32:30.249-06:00,2021-05-12T10:53:38.209-06:00,1,57,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,0,0
79,2021-05-12T10:03:27.615-06:00,2021-05-12T10:31:06.024-06:00,2,25,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,0,0
80,2021-05-12T09:32:31.073-06:00,2021-05-12T10:43:40.445-06:00,1,32,7,7,7,1,1,0,1,0,7,7,7,7,1,7,7,7,0,0,0,0
81,2021-05-12T11:56:08.619-06:00,2021-05-12T13:17:28.539-06:00,1,62,7,7,7,5,5,5,5,5,7,7,7,7,7,7,7,7,0,0,0,0
82,2021-05-12T07:28:22.706-06:00,2021-05-12T11:41:03.989-06:00,1,30,7,5,3,7,1,0,2,7,3,0,3,7,4,7,7,5,0,0,0,0
83,2021-05-12T11:26:34.657-06:00,2021-05-12T12:13:05.196-06:00,1,52,7,7,4,6,2,0,0,6,1,1,0,6,6,7,7,7,0,5,1,0
84,2021-05-12T10:33:27.171-06:00,2021-05-12T11:21:29.133-06:00,1,40,7,7,7,2,2,0,0,1,1,1,1,1,1,7,1,0,2,3,1,0
85,2021-05-12T09:43:35.551-06:00,2021-05-12T10:29:56.227-06:00,1,86,7,7,1,0,0,0,0,0,0,0,0,2,2,7,7,7,0,0,0,0
86,2021-05-12T12:01:12.311-06:00,2021-05-12T12:37:59.971-06:00,1,73,3,5,6,7,0,0,0,6,7,7,2,7,7,3,7,2,0,0,0,0
87,2021-05-12T10:25:27.715-06:00,2021-05-12T11:15:13.742-06:00,1,70,7,7,7,3,0,0,0,3,7,7,0,3,3,7,7,7,1,1,0,0
88,2021-05-12T09:53:24.826-06:00,2021-05-12T10:23:43.596-06:00,1,38,7,7,7,7,1,0,1,7,7,7,0,7,7,7,7,7,0,0,0,0
